nome_cientifico,nomes_populares,familia,habito,parte_comestivel,uso_culinario,url;;;;;;;;;;;;;
Cichorium intybus,Chicória-amarga; almeirão-verdadeiro.,Asteraceae,Herbácea;" Subarbustiva.,Parte comestível – método de preparo:,""👨‍🍳Receitas: Café de almeirão (Tua saúde), Almeirão refogado (Tua saúde), Salada de almeirão com iogurte (Tua saúde), Suco de almeirão (Tua saúde)."",https://hortodidatico.ufsc.br/almeirao/";;;;;;;;;;;
Cyclospermum leptophyllum,Gertrudes; aipo-silvestre; mastruço; salsa-do-brejo.,Malvaceae,Herbácea,Parte comestível – método de preparo:,Receitas: Pão com aipo-chimarrão (Matos de Comer),https://hortodidatico.ufsc.br/aipo-chimarrao/;;;;;;;;;;
Ocimum gratissimum,Alfavacão; alfavaca.,Lamiaceae,Arbustiva; Subarbustiva.,Parte comestível – método de preparo:,👨‍🍳Receitas: Antepasto de coração de banana no vapor do alfavacão (Come-se),https://hortodidatico.ufsc.br/alfavaca-cravo-panc/;;;;;;;;;;;
Tulbaghia violacea,Tulbagia,Amaryllidaceae,Herbácea,Parte comestível – método de preparo:,,https://hortodidatico.ufsc.br/alho-social/;;;;;;;;;;;;;
Lactuca indica,Almeirão-do-mato; alface-do-mato; almeirão-do-mato-grosso.,Asteraceae,Herbácea,Parte comestível – método de preparo:,👨‍🍳Receitas: Charutinho PANC (Chefe Raissa Ribeiro),https://hortodidatico.ufsc.br/almeirao-roxo/;;;;;;;;;;;
Terminalia catappa,Sete-copas; chapéu-de-sol; sombreiro; castanhola;" chapéu-de-praia.,Combretaceae,Arbórea,Parte comestível – método de preparo:,""👨‍🍳Receitas: Geleia de amendoeira (Receitas da Margo)"; Marmelada, suco, geleia e merengue com amendoeira (Come-se);" Arroz com amêndoas (Come-se)"",https://hortodidatico.ufsc.br/amendoeira/";;;;;;;
Rubus brasiliensis,Amorinha-do-mato; amora-do-mato.,Rosaceae,Trepadeira,Parte comestível – método de preparo,👨‍🍳Receitas: Geleia de amora branca (Cultura Mix),https://hortodidatico.ufsc.br/amora-branca-2/;;;;;;;;;;;;
Rubus fruticosus,Amora-preta;" amora-silvestre.,Rosaceae,Trepadeira,Parte comestível – método de preparo,""Receitas: Licor de amora silvestre (Oba Gastronomia e Cozinha com Rosto), Cogumelo porcini em cama de couve com salada PANC e pinhão sapecado (Casa Acaé)."",https://hortodidatico.ufsc.br/amora-cultivada-sem-espinho/";;;;;;;;;;;;
Morus nigra,Amora-preta; amora-negra.,Moraceae,Arbustiva;" Arbórea.,Parte comestível – método de preparo,""👨‍🍳Receitas: Salada de amora e queijo fresco (Notícias Magazine), Geleia de amora (Na Cozinha Brasil)"",https://hortodidatico.ufsc.br/amora-de-arvore/";;;;;;;;;;;
Rubus niveus,Amora-preta; framboesa-negra.,Rosaceae,Subarbusto,Parte comestível – método de preparo,👨‍🍳Receitas: Sorvete de framboesa-preta (Na Cozinha Brasil),https://hortodidatico.ufsc.br/amora-preta-himalaia/;;;;;;;;;;;;
Rubus imperialis,Amora-do-mato; framboesa-de-cipó-verde.,Rosaceae,Trepadeira,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/amora-rosa/;;;;;;;;;;;;
Rubus rosifolius,Amora-vermelha; moranguinho-do-mato.,Rosaceae,Herbácea;" Subarbusto.,Parte comestível – método de preparo,""Receitas: Merengue de amora-silvestre (Oficina Cozinhando com PANC), Bolinho de fubá com amora-silvestre (Oficina Cozinhando com PANC)."",https://hortodidatico.ufsc.br/amora-silvestre-2/";;;;;;;;;;;
Morus alba,Amora-branca; amoreira-branca.,Moraceae,Arbustiva,Parte comestível – método de preparo,👨‍🍳Receitas:,https://hortodidatico.ufsc.br/amora-verde/;;;;;;;;;;;;
Ananas bracteatus,Naná; ananás; abacaxi-do-mato; gravatá; ananás-de cerca-vermelho.,Bromeliaceae,Herbácea,Parte comestível – método de preparo,,https://hortodidatico.ufsc.br/anana/;;;;;;;;;
